MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
10933|have an unconcerned air, be indifferent|VsuruI|||||
10934|advance (into a new market or stage of progress), launch (a new career or venture), expand (into a new market), step forward, emerge|VsuruI|||||
10935|be newly-wed|VsuruI|||||
10936|befriend|VsuruT|||||
10937|die, pass away|VsuruI|||||
10938|discriminate, discern, identify|VsuruT|||||
10939|be at an examination, take an exam, take a test|VsuruI|||||
10940|try, experiment, test|VsuruT|||||
10941|lead a meeting, preside over a meeting, officiate at a ceremony, chair|VsuruI|||||
10942|support, back, endorse, approve|VsuruT|||||
10943|support, hold up, prop|VsuruT|||||
10944|study under, look up to, apprentice oneself to|VsuruT|||||
10945|dominate, rule, control|VsuruT|||||
10946|direct, manage, guide|VsuruT|||||
10947|have control over (e.g. one's emotions), determine (e.g. one's fate), govern, influence, hold sway over|VsuruT|||||
10948|support, back, aid, assist|VsuruT|||||
10949|photograph|VsuruT|||||
10950|persuade|VsuruI|||||
10951|explain, expose|VsuruT|||||
10952|elect, select, choose|VsuruT|||||
10953|clean|VsuruT|||||
10954|make a clean copy|VsuruI|||||
10955|maintain, service|VsuruI|||||
10956|put in place, establish, develop, prepare, provide, outfit|VsuruI|||||
10957|turn left|VsuruI|||||
10958|refer to, consult, browse, check out|VsuruT|||||
10959|participate in a war, go to war|VsuruI|||||
10960|take part in a competition or contest|VsuruI|||||
10961|service, help, assist, care for|VsuruT|||||
10962|discount, give for free|VsuruT|||||
10963|service, maintain (product)|VsuruT|||||
10964|reason analogicaly, infer analogically|VsuruT|||||
10965|resemble, be similar, be alike|VsuruI|||||
10966|do manual labor, do manual labour, toil, work|VsuruI|||||
10967|be in dispute, be in controversy|VsuruI|||||
10968|have a verbal dispute|VsuruI|||||
10969|comment on, criticize, criticise|VsuruT|||||
10970|discuss, argue, debate|VsuruT|||||
10971|lock|VsuruT|||||
10972|stand close together, bristle (with)|VsuruI|||||
10973|serialize, serialise|VsuruT|||||
10974|line up (baseball, product, etc.)|VsuruT|||||
10975|play, recreate|VsuruI|||||
10976|perform, be on stage|VsuruI|||||
10977|be filially pious|VsuruI|||||
10978|open (a new store, golf course, runway, etc.)|VsuruT|||||
10979|cut in price|VsuruT|||||
10980|fall (prices)|VsuruI|||||
10981|reduce (prices), discount|VsuruT|||||
10982|hike (prices), mark up|VsuruT|||||
10983|suffer from summer heat|VsuruI|||||
10984|join, intermediate, relay, broker|VsuruT|||||
10985|be offered unofficially (esp. job offer), be decided tentatively|VsuruI|||||
10986|be plump, be rotund, be chubby|VsuruI|||||
10987|play a game, enter a match, be in a contest|VsuruI|||||
10988|retort, talk back|VsuruI|||||
10989|interfere, meddle, but in|VsuruI|||||
10990|march, parade|VsuruI|||||
10991|stipulate, prescribe, provide, regulate|VsuruT|||||
10992|describe, account|VsuruT|||||
10993|form, combine|VsuruT|||||
10994|construct, build|VsuruT|||||
10995|bear nuclear arms|VsuruI|||||
10996|remodel, restructure, reconstruct, reshuffle (e.g. cabinet)|VsuruT|||||
10997|mod|VsuruI|||||
10998|open a business, open a practice|VsuruI|||||
10999|liberalize, liberalise, free|VsuruT|||||
11000|run away from home, elope|VsuruI|||||
11001|go out|VsuruI|||||
11002|become a Buddhist monk, enter the priesthood|VsuruI|||||
11003|look, glance, inspect|VsuruI|||||
11004|protect, safeguard, guard|VsuruT|||||
11005|preserve, conserve|VsuruT|||||
11006|get a hit (boxing, hockey, search result...), succeed|VsuruI|||||
11007|fly, take flight|VsuruI|||||
11008|criticize, criticise, judge, comment on|VsuruT|||||
11009|admit, transfer to a school, annex, incorporate|VsuruT|||||
11010|be notched, be serrated, be jagged, be corrugated, be milled|VsuruI|||||
11011|be the object of satire, be ironic, be the object of sarcastic|VsuruI|||||
11012|return, come back, be reinstated|VsuruI|||||
11013|perform a carriage return|VsuruI|||||
11014|appreciate (yen), strengthen (yen)|VsuruI|||||
11015|operate|VsuruT|||||
11016|introduce, bring in, lead in, install|VsuruT|||||
11017|design|VsuruT|||||
11018|knock down (e.g. in boxing), overthrow, defeat|VsuruT|||||
11019|tap, do percussion on|VsuruT|||||
11020|sound out (someone's intentions), make an approach (about)|VsuruI|||||
11021|programme, program, plan, arrange|VsuruT|||||
11022|oppress, suppress|VsuruT|||||
11023|break a deadlock|VsuruI|||||
11024|break down, defeat, abolish|VsuruT|||||
11025|advise, warn|VsuruT|||||
11026|relay, hook up|VsuruT|||||
11027|broadcast|VsuruT|||||
11028|warm up (globally)|VsuruI|||||
11029|defend, protect|VsuruT|||||
11030|sign, signal, cue|VsuruT|||||
11031|ride together, share a car (taxi, etc.)|VsuruI|||||
11032|do in collaboration|VsuruI|||||
11033|back the same candidate|VsuruI|||||
11034|annihilate, destroy totally, destroy completely, defeat crushingly|VsuruT|||||
11035|be annihilated, end up in failure|VsuruI|||||
11036|completely recover one's health|VsuruI|||||
11037|reconcile, settle amicably, be accommodating, compromise, be mediated, be rapproched|VsuruI|||||
11038|translate a foreign language into Japanese|VsuruI|||||
11039|itch to do something, be impatient, be sorely tempted, be eager|VsuruI|||||
11040|discharge, flow outward, efflux, haemorrhage, hemorrhage, bleed (e.g. ink into paper)|VsuruI|||||
11041|leak (private) information or pictures|VsuruI|||||
11042|be in influx|VsuruI|||||
11043|be in fashion, be a fad|VsuruI|||||
11044|be prevalent (e.g. of a disease)|VsuruI|||||
11045|be compatibile, coexist, stand together|VsuruI|||||
11046|add a freebie to (e.g. with a purchase), give something additional, give a bonus, give an extra|VsuruT|||||
11047|reduce the price of, discount|VsuruT|||||
11048|exaggerate|VsuruI|||||
11049|visit (a shrine, grave, etc.), worship|VsuruT|||||
11050|grin friendlily, smile|VsuruI|||||
11051|smile sweetly, grin broadly|VsuruI|||||
11052|accomplish, fulfill, carry out|VsuruT|||||
11053|subtract|VsuruT|||||
11054|arrange (resources), deploy, station, post, configure, lay out|VsuruT|||||
11055|work away from home|VsuruI|||||
11056|treat, serve|VsuruT|||||
11057|request an encore|VsuruI|||||
11058|be lanky, be spindly, be slender, be frail|VsuruI|||||
11059|appear one after another|VsuruI|||||
11060|rise continuously (in market price)|VsuruI|||||
11061|continue, resume|VsuruT|||||
11062|sway, swing, rock, shake, waver, flicker|VsuruI|||||
11063|have a set meal, have a combo-meal, have a combo, have a combination meal|VsuruI|||||
11064|do (someone's) hair|VsuruT|||||
11065|enhance, exalt, promote, uplift|VsuruT|||||
11066|hate, dislike, despise, detest|VsuruT|||||
11067|have admiration, wonder, be astonished|VsuruI|||||
11068|feel (i.e. tactile sensation), touch|VsuruT|||||
11069|be deeply impressed|VsuruI|||||
11070|feel deep emotions, be impressed, be inspired|VsuruI|||||
11071|descend (esp. in skiing), slide down|VsuruI|||||
11072|be in parentheses, be in brackets|VsuruI|||||
11073|show by a diagram, illustrate, represent graphically, depict|VsuruT|||||
11074|lend (money), finance, loan|VsuruT|||||
11075|screen (in a contest)|VsuruT|||||
11076|predict, prophecize, foretell|VsuruT|||||
11077|total|VsuruT|||||
11078|accompany|VsuruT|||||
11079|arrange, manage|VsuruT|||||
11080|lend money, raise money|VsuruI|||||
11081|hibernate|VsuruI|||||
11082|rush, charge|VsuruT|||||
11083|break through, penetrate|VsuruT|||||
11084|earn a living together (husband and wife)|VsuruI|||||
11085|work both (husband and wife), have a dual income|VsuruI|||||
11086|be at sea, lose one's bearings, be confused, wonder|VsuruI|||||
11087|specify, designate, identify, pinpoint|VsuruT|||||
11088|lock up (doors and windows), fasten the doors|VsuruT|||||
11089|suspend, interrupt, stop, ban, halt, abey|VsuruT|||||
11090|stop|VsuruI|||||
11091|bring news, bring tidings|VsuruI|||||
11092|achieve, attain, accomplish, realize|VsuruT|||||
11093|loan, lend|VsuruT|||||
11094|loan, lend and borrow|VsuruT|||||
11095|occur repeatedly, occur frequently|VsuruI|||||
11096|promote (e.g. of a government policy), further, implement|VsuruT|||||
11097|succeed to another's professional name|VsuruT|||||
11098|output (electrical, signal, etc.)|VsuruT|||||
11099|sponsor, promote, organize, organise, host, stage|VsuruT|||||
11100|star, play the leading part|VsuruI|||||
11101|defend, guard|VsuruT|||||
11102|rise in status, be promoted, advance|VsuruI|||||
11103|obstruct, impede, hinder|VsuruT|||||
11104|be handicaped, be impaired, be disabled, have a disorder, malfunction|VsuruI|||||
11105|question, inquire, enquire, ask a question|VsuruI|||||
11106|question|VsuruT|||||
11107|interpel|VsuruI|||||
11108|point out, identify|VsuruT|||||
11109|want (someone) for questioning, have (someone) on the wanted list|VsuruT|||||
11110|name, nominate, designate|VsuruT|||||
11111|work, be occupied, be employed, have a vocation, have a task|VsuruI|||||
11112|watch and listen to, view (television)|VsuruT|||||
11113|give attention to, be interested in|VsuruT|||||
11114|die, pass away|VsuruI|||||
11115|retrench, curtail oneself, economize, economise|VsuruI|||||
11116|dive, submerge, go underwater|VsuruI|||||
11117|occupy, have (an area) all to oneself|VsuruT|||||
11118|occupy, possess, capture, seize|VsuruT|||||
11119|declare, proclaim, announce|VsuruT|||||
11120|conquer, invade|VsuruT|||||
11121|return home, visit one's parents|VsuruI|||||
11122|ley eggs, spawn|VsuruI|||||
11123|oxidize, become oxidized|VsuruI|||||
11124|be upside down, be in reverse|VsuruI|||||
11125|abbreviate|VsuruT|||||
11126|be in solidarity with|VsuruT|||||
11127|have consecutive victories|VsuruI|||||
11128|concatenate, couple, connect, link, consolidate (e.g. of company accounts)|VsuruT|||||
11129|topple sideways, turn sideways, fall over sideways|VsuruI|||||
11130|barrel-roll|VsuruI|||||
11131|embezzle, misappropriat, usurp|VsuruT|||||
11132|walk sideways, stagger, stride|VsuruI|||||
11133|be rampant, be widespread, be prevalent|VsuruI|||||
11134|be lazy, shirk|VsuruI|||||
11135|pollute, contaminate, corrupt|VsuruT|||||
11136|join (a group, team, etc.), enroll in|VsuruT|||||
11137|appoint, nominate, ordinate, commission, designate|VsuruT|||||
11138|name, christen|VsuruT|||||
11139|make (direct) hit, hit the mark|VsuruI|||||
11140|multi-post|VsuruI|||||
11141|operate a multilevel marketing system, pyramid sell, refer in chain|VsuruI|||||
11142|mulch|VsuruI|||||
11143|imitate, copy, mimic|VsuruT|||||
11144|behave, act, conduct oneself|VsuruI|||||
11145|mark, put a mark on|VsuruT|||||
11146|pay attention to, focus on, watch, guard, mark|VsuruT|||||
11147|register a record (in sport, etc.)|VsuruI|||||
11148|have joint ownership of, co-own, share|VsuruT|||||
11149|share|VsuruT|||||
11150|share, have in common|VsuruT|||||
11151|be joint, be common|VsuruI|||||
11152|resonate, be sympathetic (sound)|VsuruI|||||
11153|sympathize, empathize, respond|VsuruI|||||
11154|strengthen, intensify, reinforce, enhance, solidify|VsuruT|||||
11155|work together (as equals), share, have in common (land, etc.), make joint (statement, etc.), cooperate, co-operate, collaborate, associate|VsuruI|||||
11156|retail|VsuruT|||||
11157|purchase, buy|VsuruT|||||
11158|coach|VsuruT|||||
11159|make a door-to-door visit|VsuruI|||||
11160|have a press conference|VsuruI|||||
11161|mention (in a document), record, enter, state, list|VsuruT|||||
11162|prohibit, inhibit, ban|VsuruT|||||
11163|return to one's country|VsuruI|||||
11164|mechanize, mechanise|VsuruI|||||
11165|computerize|VsuruI|||||
11166|build, construct|VsuruT|||||
11167|serve concurrently as, hold the additional post of|VsuruI|||||
11168|serve concurrently as, hold the additional post of|VsuruI|||||
11169|continue|VsuruI|||||
11170|go through, go via, go by way of|VsuruT|||||
11171|measure|VsuruT|||||
11172|measure, weigh|VsuruT|||||
11173|have a personal history, follow a career|VsuruI|||||
11174|tend to, incline to|VsuruI|||||
11175|pass (time), elapse|VsuruI|||||
11176|progress, develop|VsuruI|||||
11177|transit|VsuruI|||||
11178|include a sum of money in one's calculations|VsuruI|||||
11179|appropriate (a sum of money)|VsuruT|||||
11180|lend, loan|VsuruT|||||
11181|observe, survey, measure|VsuruT|||||
11182|control|VsuruT|||||
11183|control, have jurisdiction over|VsuruT|||||
11184|be in equilibrium, be in balance, have poise|VsuruI|||||
11185|join (an association, agreement, etc.), participate, affiliate with|VsuruI|||||
11186|guarantee, maintain, ensure, insure, secure, reserve|VsuruT|||||
11187|improve, reform|VsuruT|||||
11188|curl|VsuruI|||||
11189|make a turn, (baseball) throw a curve ball|VsuruI|||||
11190|observe (laws, rules, etc.), adhere to, obey, follow, abide by, comply with|VsuruT|||||
11191|go on a pilgrimage|VsuruI|||||
11192|declare an intent, express one's intention, manifes intention|VsuruI|||||
11193|interview (in television, newspaper, etc.)|VsuruT|||||
11194|take a mental image of, take a mental picture of, view|VsuruT|||||
11195|switch over to, migrate, transition|VsuruI|||||
11196|complement, supplement, complete|VsuruT|||||
11197|put in someone's charge, give custody, safekeep, deposit, store|VsuruT|||||
11198|capture, seize|VsuruT|||||
11199|say a single word, say a few words, comment briefly|VsuruI|||||
11200|be proportional, be in proportion|VsuruI|||||
11201|compare|VsuruT|||||
11202|judge, decide, adjudicate, award, determine|VsuruI|||||
11203|reduce by half, halve|VsuruT|||||
11204|be defeated, be eliminated (from competition)|VsuruI|||||
11205|lose a court-case|VsuruI|||||
11206|distribute (electronically)|VsuruT|||||
11207|be defeated, lose|VsuruI|||||
11208|change suddenly, reverse, come from behind (baseball)|VsuruT|||||
11209|counter-attack|VsuruI|||||
11210|be attached, belong (to), be included, be enclosed, be affiliated, be annexed, be associated, be subordinate, be incidental, be dependent, be auxiliary|VsuruI|||||
11211|freeze|VsuruT|||||
11212|ally with, unite with|VsuruI|||||
11213|write|VsuruT|||||
11214|die from disease, die from illness|VsuruI|||||
11215|be ill, get sick|VsuruI|||||
11216|take advantage of (an opportunity), jump on the bandwagon|VsuruI|||||
11217|take passage (in), get a lift, get a ride|VsuruI|||||
11218|raise wages|VsuruI|||||
11219|roar in laughter (several people)|VsuruI|||||
11220|laugh hard (single person)|VsuruI|||||
11221|blow up, explode|VsuruI|||||
11222|bomb (raid)|VsuruT|||||
11223|double|VsuruT|||||
11224|tidy up, clear up, clean up, clear away, put in order|VsuruT|||||
11225|be stable, be steady, be in equilibrium|VsuruI|||||
11226|make a schematic, make a schema, illustrate, explain by diagram|VsuruI|||||
11227|be negligent, be careless, be inattentive, be unprepared|VsuruI|||||
11228|manage, administer, operate|VsuruT|||||
11229|enter (on stage), appear (on screen)|VsuruI|||||
11230|enter, be introduced (into a market)|VsuruI|||||
11231|experience personally or physically|VsuruT|||||
11232|strike (i.e. industrial), be on a strike|VsuruI|||||
11233|stop|VsuruI|||||
11234|stock|VsuruT|||||
11235|store|VsuruT|||||
11236|appear on stage, perform|VsuruI|||||
11237|participate (e.g. in a tournament)|VsuruI|||||
11238|praise, admire, commend, approbe|VsuruT|||||
11239|make, set up, build a facility|VsuruI|||||
11240|play a match, play a game, bout, be in a contest|VsuruI|||||
11241|be passed on, be inherited|VsuruI|||||
11242|center|VsuruT|||||
11243|make war|VsuruI|||||
11244|fight, competite fiercly|VsuruI|||||
11245|precede, go first, lead, go ahead, take priority|VsuruI|||||
11246|insist, emphasize, emphasise, stress|VsuruT|||||
11247|give a report, write a paper|VsuruI|||||
11248|give a present or gift|VsuruI|||||
11249|make a presentation|VsuruI|||||
11250|press, stamp, print|VsuruT|||||
11251|weight-lift|VsuruT|||||
